"Brand","Label","Type","User Proof","Status","Special Designation","Size","COO","Purchase Date","Store","Price","Valuation","Bottle Rating","Willing To Trade","Location"
"Wild Turkey","Rare Breed","bourbon","116.8","OPEN_75_PCT","","750ml","United States","2023-02-19","Texas Wine & Spirits ","50.00","37.85","","","Home Bar Second Shelf"
"Wild Turkey","Rare Breed Rye","rye","112.2","OPEN_50_PCT","","750ml","United States","2022-04-23","Vons","50.00","23.2","","","Home Bar Second Shelf"
"Wilderness Trail","Cask Strength Rye","rye","104.6","OPEN_75_PCT","Bourbon Junkies Pick","750ml","United States","2024-01-07","Bourbon Outfitters ","70.00","48.5","","","Home Bar"
"Wilderness Trail","Single Barrell Kentucky Straight Bourbon Whiskey Family Reserve","bourbon","111.22","OPEN_75_PCT","CWSDAZNV#1","750ml","United States","2024-01-07","Total Wine","75.00","44.63","","","Home Bar"
"Wilderness Trail","Small Batch Bottled in Bond Bourbon","bourbon","100","OPEN_25_PCT","","750ml","United States","2021-01-06","BevMo","54.00","7.96","","","Home Bar"
"Willett","4 Year Estate Bottled Rye","rye","107.4","OPEN_75_PCT","","750ml","United States","2023-01-06","Costco","60.00","51.09","","","Home Bar"
"Willett","Pot Still Reserve","bourbon","94","OPEN_25_PCT","","750ml","United States","2022-06-17","Gift","0.00","8.51","","","Home Bar"
"Woodford Reserve","Batch Proof","bourbon","118.4","OPEN_50_PCT","","750ml","United States","2024-06-06","","120.00","56.75","","","Home Bar"
"Woodford Reserve","Double Oak","bourbon","90.4","OPEN_25_PCT","","750ml","United States","2023-03-31","Costco","43.00","9.57","","","Home Bar"
"Woodford Reserve","Double Oak","bourbon","90.4","OPEN_25_PCT","","750ml","United States","2023-03-31","Costco","43.00","9.57","","","Home Bar"
"Woodford Reserve","Kentucky Straight ","bourbon","90.4","OPEN_25_PCT","","1.75L","United States","2021-04-11","","67.00","9.48","","","Home Bar"
"Woodford Reserve","Master's Collection Batch Proof 119.8","bourbon","119.8","OPEN_50_PCT","","750ml","United States","2023-07-02","Costco","120.00","44.15","","","Home Bar"
"Woodford Reserve","Master's Collection Double Oaked","bourbon","90.4","EMPTY","","1.0L","United States","2024-12-02","Costco","43.00","0","","","Storage"
"Woodford Reserve","Master's Collection Kentucky Straight Bourbon Whiskey","bourbon","121.2","OPEN_100_PCT","","700ml","United States","2024-06-06","Costco","120.00","134.06","","","Home Bar"
"Woodinville","Straight Bourbon","bourbon","90","OPEN_50_PCT","","750ml","United States","2022-04-13","BevMo","42.00","16.59","","","Home Bar Second Shelf"
"Wyoming Whiskey","Small Batch","bourbon","88","OPEN_75_PCT","","750ml","United States","2021-05-22","Flaviar","0.00","29.35","","","Home Bar Second Shelf"
